source_mizo,reference_english,baseline_prediction
Minute 11 naah goal hmahruai thuntu Diaz chuan a head lut teuh hle bawk.,"""Diaz, who scored the opening goal in the 11th minute, also nearly headed one in.""","""In the 11th minute, the goal scorer Diaz also came very close to his head."""
Heng zinga 3640 chu Mizoram pawnah training tir niin 1788 chu Mizoram chhungah zirtirna pek an ni a ti bawk.,"""she also stated that among these, 3,640 were trained outside Mizoram while 1,788 were given training within Mizoram.""","""He also said that 3640 of these were trained outside Mizoram, and 1788 were given training within Mizoram."""
Heng hun laia Mizo naupang pawl 8 chuan an zir vek ngei ang.,"""During this time, all Mizo students in class 8 must have studied it.""",All 8 Mizo children in these times will surely study.
KIYG-a Mizoram chet dan hi thuneituten uluk taka an zir.,The authorities are carefully studying Mizoram's performance in KIYG.,Authorities studied Mizoram's actions in KIYG carefully.
He faina hnatlangpuiah hian Aizawl khawpui chhunga Branch YMA 108 thawk chhuak tura beisei an ni.,It is expected that 108 Branch YMAs within Aizawl city will participate in this mass cleanliness drive.,108 Branch YMAs from within Aizawl city are expected to participate in this cleanliness drive.
Faki chu beiseina a hloh tir a.,He made Faki lose hope.,Faki was losing hope.
Ziri chu French-a ka biak a ngai. Chu chauh chu tawng a hriat a ni.,I have to speak to Ziri in French. It's the only language she knows.,I have to talk to Ziri in French. That's all she knows.
Vawi leh khata INNGAI tih i ngaihtuah chhuak nghal mai thei a nih chuan Mizo tawng i thiam hle a ni ang.,"""If you can immediately think of INNGAI all at once, you must be very good at Mizo language.""","""If you can immediately think of INNGAI once and for all, you will be very good at Mizo."""
Zama chuan i tan a ti tih a sawi.,Zama said that he did that for you.,Zama said he did that for you.
Lawmi chu Thuama nen an innei a.,Lawmi was married to Thuama.,Lawmi was married to Thuama.
Rina leh Siami chuan eng nge an ti tÃ»r tih an hre tawh tih an hril ka ni.,Rina and Siami told me they knew what to do.,Rina and Siami told me they already knew what they were supposed to do.
"""Sangi chuan a ti thei dawn em tih a hre lo va, mahse tih chhin a tum.""","""Sangi doesn't know whether she can do that, but she'll give it a try.""","""Sangi didn't know she'd be able to do that, but she tried to do it."""
Liani chuan ka fiamthu hrilh kha Liana a hrilh.,Liani told Liana the joke I told her.,Liani told Liana what I told her about the joke.
Vena a á¹­ap chhan ka hre lo.,I don't know why Vena is crying.,I don't know why Vena is crying.
Hriata an October thleng Boston a cham a tum tih hi a dik em?,Is it true that Hriata plans on staying in Boston until October?,Is it true that Hriata plans to stay in Boston until October?
Sairanga rel rawn luh hma pawhin ILP a mumal tawh lo.,"""Even before the train enters Sairang, the ILP system is already disorganized.""","""Even before the train entered Sairang, ILP was no longer regular."""
Tuivawl MLA bial chu vote nei tlemna ber niin 17899 an awm.,Tuivawl MLA constituency has the lowest number of voters with 17899.,Tuivawl MLA constituency has the fewest voter turnout with 17899.
Muana chuan Thari kuah tawh lo turin min vau.,Muana warned me not to hug Thari anymore.,Muana warned me not to hug Thari anymore.
An thawh chhung zawngin MBSE officer-in an vil chawt.,During their work MBSE officials repeatedly called them.,"""During their time of work, the MBSE officer took turns monitoring them."""
"""Zuala chuan a khabe hmul a tuai a, a bu nghat.""",Zuala stroked his goatee and nodded.,Zuala brushed his beard and put it on.
Ruata hnenah eng nge ka sawi ang?,What would I say to Ruata?,What should I say to Ruata?
Thomas-a a tlawm duh lo.,Thomas refused to back down.,Thomas didn't want to lose.
"""Nimin khan Luke nen hun nuam tak kan hmang a, ni hnih chhung chu rilru hah takin ka awm a, ka lawm hle.""",I'm glad to have had a great day with Luke yesterday after two very stressful days.,"""Yesterday, I had a wonderful time with Luke; for two days, I was mentally ill, and I was very grateful."""
Spain ah HernÃ¡n Cortez in Indian lu a rah lai lim a awm tih hi a dik em?,Is it true that in Spain there's a statue of HernÃ¡n Cortez stepping on the severed head of an Indian?,Is it true that HernÃ¡n Cortez found a statue of the head of India in Spain?
"""Mahse, Getafe substitute Borja Mayoral chuan an hun tha neih a khawhral.""","""But, Getafe substitute Borja Mayoral wasted the good opportunity they had.""","""But, Getafe substitute Borja Mayoral wasted their good opportunity."""
"""TÃ»n hnaiah a HB te hniamin, a zun kawngah hnai te a awm a, biak in pawh a thleng peih ta meuh lo va.""","""Recently, his/her HB dropped, there was pus in his/her urinary tract, and he/she could hardly make it to the church anymore.""","""Recently, his HBs were low, nearby in his urinary tract, and he was not even ready to reach the church."""
Lali chuan Thara pui turin a theih tawp a chhuah.,Lali did all she could to help Thara.,Lali did her best to help Thara.
Lali chuan min zui dawn tih a sawi ngai lo.,Lali never said she'd go with us.,Lali never said she'd go with us.
French tawngin sawi ang u.,Let's switch to French.,Let's speak French.
BCM Charity atana á¹­anpuina sum a pek avangin Bawrhsap hi lawm thu a hrilh bawk.,He also thanked the Deputy Commissioner for giving donation money for BCM Charity.,He also thanked the Deputy Commissioner for giving financial aid for BCM Charity.
Hriata an Zami a tlawh.,Hriata came to visit Zami.,Hriata visited Zami.
"""Hliam tuar pawh an awm nual a, pakhat chu chu Thawhlehni khan Aizawl hruai thlen niin, damdawi inah enkawl a ni.""","""There were also several injured persons, one of whom was brought to Aizawl on Tuesday and is being treated in a hospital.""","""There were quite a few injured people, and one was taken to Aizawl on Tuesday and treated in the hospital."""
Khawiah nge min hmuh tur Dina ka hrilh tawh.,I've told Dina where to meet us.,I've already told Dina where to find me.
"""LONEITU PAHNIH ThingtlÃ¢ng khaw pakhatah hian loneitu pahnih, Fela leh Phakara hi an awm a.""","""TWO FARMERS. In a village in the countryside, there were two farmers, Fela and Phakara.""","""There are two farmers, Fela and Phakara, in a village called ThingtlÃ¢ng."""
Rina leh kei hi French á¹­awng kan thiam lo.,Rina and I aren't good at speaking French.,Rina and I don't speak French.
British PM vuinaa tel turin US aá¹­angin mi pawimawh an kal.,Important people from the US went to attend the funeral of the British PM.,Important people from the US went to attend the British PM's funeral.
Aizawl bakah khaw hrang hrang aá¹­angin palai an tel.,Delegates from various villages besides Aizawl participated.,Delegates from various villages besides Aizawl participated.
"""Khuarel kalphung chu hnah hlui chu hnah tharin a thlak thin angin, MNF chhungah ngei pawh hruaitu zawi zawiin a inthlak zel a ni.""","""Just as the natural process is for old leaves to be replaced by new ones, within the MNF itself, the leadership is gradually changing.""","""Just as old social work is changed by new work, even within the MNF, leaders are gradually changing."""
Engtikah nge Malsawma chu Boston-ah a lo let dawn?,When will Malsawma get back to Boston?,When will Malsawma come back to Boston?
Chu chu lemchan lama Chan-a bul tanna a ni.,That was Chan-a's beginning in acting.,That was the beginning of Chan's acting.
Consumer lam lehkhabu hi vawi-6 zet ka tichhuak ta bawk.,I have also published books on Consumer issues 6 times.,I have also published Consumer book as many as 6 times.
Latakia Governor Ibrahim Khudr Salem chuan China sawrkar leh China mipuite chungah lawmthu a sawi.,Latakia Governor Ibrahim Khudr Salem thanked the Chinese government and the Chinese people.,Latakia Governor Ibrahim Khudr Salem expressed gratitude to the Chinese government and the people of China.
A vawmtu lamah Kagiso Radaba leh Gerlad Coetzee te an rintlak.,"""On the bowling side, Kagiso Radaba and Gerald Coetzee are reliable.""",Kagiso Radaba and Gerlad Coetzee are reliable in the bowling match.
Vawiin October ni 31 hian Lallen leh Saithah lam an tlawh.,"""Today, October 31, they visited Lallen and Saithah areas.""","""Today, October 31, they visited Lallen and Saithiah."""
"""Bethesda kianga damlo hian heng hi a lo paltlang a, a va huaisen em!""",The sick person by Bethesda went through all these; how brave he was!,"""This disease near Bethesda passes through, and how brave it is!"""
Hemi hnu hian Aizawl panin a let leh nghal ang.,"""Following this, he will immediately return to Aizawl.""","""After this, he will return to Aizawl immediately."""
Hriata biak i duh em?,Do you want to talk to Hriata?,Do you want to talk to Hriata?
Liani chuan kan ti thei in a hria niin a sawi.,Liani says she thinks we could do that.,Liani said she thought we could do that.
Esperanto hi khawvel tawng a ni tih hre reng chungin eng ang mi in nge Toki Pona zir nana hun khawhral?,What kind of people spend time on Toki Pona knowing that Esperanto is the universal language?,"""Knowing that Esperanto is the language of the world, what kind of people spend their time studying Toki Pona?"""
Kum hnih chhung Manipur-ah boruak a tang em em.,The situation in Manipur has been very tense for two years.,The atmosphere in Manipur has been very tense for two years.
Heng hun lai hian Champhaiah chuan ei leh bar a la tlawm hle a.,"""During these times, food and living costs were still very cheap in Champhai.""","""During these times, food and bar were still very scarce in Champhai."""
Zira chu meeting-ah a awm tur a ni.,Zira should've been at the meeting.,Zira should be at the meeting.
Pi Lalrinpuii hi Lalnu Ropuiliani pasalá¹­ha Hlawncheuva thlah Vaithatchianga leh Rothangi te inkÃ¢rah a lo piang.,"""Pi Lalrinpuii was born to Vaithatchianga, a descendant of Queen Ropuiliani's warrior Hlawncheuva, and Rothangi.""",Pi Lalrinpuii was born between Queen Ropuiliani and the family of Hlawncheuva Vaitchianga and Rothangi.
Littell phei chuan Anabaptist te hian Siamá¹­hatna aiin Ngai awhtÃ®r lehna an tuipui zawk niin a ngai hial a ni.,Littell even thinks that the Anabaptists were more focused on Restitution than Reformation.,Littell even thinks that the Anabaptists are more enthusiastic about hurting themselves than about Reformation.
Khuma-an hmun a hmu thei a ngem tih ka ngaihtuah.,I wonder if Khuma will be able to find the place.,I wonder whether or not Khuma can find a place.
Zira chu a ui tello in khawiah mah a kal thei lo.,Zira couldn't go anywhere without his dog.,Zira can't go anywhere without his dog.
Heng a thil sawi chhuahte hian Bollywood actor-te tan nakin zelah kawng a awlsam phah zawk ngei ang.,These things she spoke about will surely make the path easier for Bollywood actors in the future.,These things he mentioned will surely make the path easier for Bollywood actors to follow in the future.
Final hmuhnawm takah Tualcheng chuan a thlengtu Ngur VC Team hnehin an champion.,"""In an exciting final, Tualcheng defeated the host team Ngur VC Team and became champions.""","""In an exciting final, Tualcheng defeated the host Ngur VC Team and became champions."""
"""Liani chuan Liana a be lo, tiraw?""","""Liani didn't talk to Liana, did she?""","""Liani didn't talk to Liana, did she?"""
Lalvunga fapa Didina khan a sawi á¹­hin a.,Lalvunga's son Benji used to say it.,Lalvunga's son Didina used to talk.
He lehkhabu hi Ramu hnenah pe rawh.,Give this book to Ramu.,Give this book to Ramu.
"""Council Veng, Lawngtlai: 3 - Mipa 1 leh Hmeichhia 2 an ni a.""","""Council Veng, Lawngtlai: 3 - 1 Male and 2 Females.""","""Council Veng, Lawngtlai: 3 - There are 1 Male and 2 Females."""
Brest tan Steve Mounie chuan halftime dawnah goal a khung. India nihnaah hian Mizote him lova inhriatna kan nei a.,"""Steve Mounie scored for Brest near halftime. In being Indian, we Mizos have a feeling of insecurity.""",Steve Mourie scored a goal for Brest near halftime. We Mizos feel unsafe in India's identity.
Liani chuan tih a duh ngai loh thu a sawi.,Liani says she doesn't even like to do that.,Liani said she'd never want to do that.
ZMC zirlaite chenna tur Crawford Gents Hostel chu tangkai taka hman a nih theih nan duhsakna a hlan.,He wished for the Crawford Gents Hostel for ZMC students to be used effectively.,He wished the ZMC students a Crawford Gents Hostel to be used effectively.
Kulikawn Vengthlangah hian in 9 lei che hian a khawih.,This landslide affected 9 houses in Kulikawn Vengthlang.,"""In Kulikawn Vengthlang, 9 houses are occupied by you."""
He Kut hi hlawhtling taka hman a nih theih nan Lengpui khawtlang hruaitute leh mipui tawiawmna a ngen bawk.,He also requested the support of Lengpui community leaders and the public so that this Festival can be celebrated successfully.,He also requested the Lengpui community leaders and the public to support this Festival successfully.
